Statistical profiling result from conCLog.log, (17495 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  Function: ^hasTimedOut /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:535:16
      2    0.0%    0.1%  Function: ^handle /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/application.js:158:29
      2    0.0%    0.1%  Function: ^getcookie /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-session/index.js:529:19
      2    0.0%    0.1%  Function: ^get node:_http_incoming:108:16
      2    0.0%    0.1%  Function: ^get length /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:939:15
      2    0.0%    0.1%  Function: ^etag /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/etag/index.js:70:15
      2    0.0%    0.1%  Function: ^error /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/send/index.js:267:45
      2    0.0%    0.1%  Function: ^emitAfterScript node:internal/async_hooks:509:25
      2    0.0%    0.1%  Function: ^dispatch /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/router/route.js:98:45
      2    0.0%    0.1%  Function: ^deserialize /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/deserializer.js:25:21
      2    0.0%    0.1%  Function: ^command /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:161:12
      2    0.0%    0.1%  Function: ^basename node:path:1306:11
      2    0.0%    0.1%  Function: ^append /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:943:11
      2    0.0%    0.1%  Function: ^acquire /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:577:12
      2    0.0%    0.1%  Function: ^_write node:internal/streams/writable:284:16
      2    0.0%    0.1%  Function: ^_addListener node:events:418:22
      2    0.0%    0.1%  Function: ^SessionStrategy.authenticate /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/passport/lib/strategies/session.js:45:50
      2    0.0%    0.1%  Function: ^MustacheStatement /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      2    0.0%    0.1%  Function: ^Minimatch /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/minimatch/minimatch.js:110:20
      2    0.0%    0.1%  Function: ^Long.compare /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/long.js:291:39
      2    0.0%    0.1%  Function: ^Hash node:internal/crypto/hash:58:14
      2    0.0%    0.1%  Function: ^FastBuffer node:internal/buffer:958:14
      2    0.0%    0.1%  Function: ^ConnectionCheckedOutEvent /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection_pool_events.js:115:16
      2    0.0%    0.1%  Function: ^AbstractCursor /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cursor/abstract_cursor.js:46:16
      2    0.0%    0.1%  Function: ^<anonymous> node:internal/fs/utils:686:40
      2    0.0%    0.1%  Function: ^<anonymous> :1:20
      2    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:131:67
      2    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cursor/abstract_cursor.js:442:46
      2    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.0%  RegExp: ^\s*?(\r?\n|$)
      1    0.0%    0.0%  RegExp: ^\/api\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^\.|this\b
      1    0.0%    0.0%  RegExp: ^[\u0009\u0020-\u007e\u0080-\u00ff]+$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      1    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\|)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\{)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?!--)
      1    0.0%    0.0%  RegExp: ^(?:\.\.)
      1    0.0%    0.0%  RegExp: ^(?:\()
      1    0.0%    0.0%  RegExp: ^(?:[^\x00]+)
      1    0.0%    0.0%  RegExp: ^(?:"(\\["]|[^"])*")
      1    0.0%    0.0%  RegExp: \r?\n\s*?$
